16,30,16
0.8263300545369369,0.26849091030826244,-0.7112705694433569
-0.8263300545369369,0.26849091030826244,-0.7112705694433569
0.5107000596293813,-0.7029183288574306,-0.7112705694433569
-0.5107000596293813,-0.7029183288574306,-0.7112705694433569
0.8742263880717603,0.28405337245106727,0.4975127958541699
-0.8742263880717603,0.28405337245106727,0.4975127958541699
0.5403016216904035,-0.743661383695927,0.4975127958541699
-0.5403016216904035,-0.743661383695927,0.4975127958541699
1.0585074099474079,-0.3439299061003922,0.04636978114402881
-1.0585074099474079,-0.3439299061003922,0.04636978114402881
0.6541935566911166,0.9004201839183866,0.04636978114402881
-0.6541935566911166,0.9004201839183866,0.04636978114402881
0.0,0.0,1.4059347356134866
0.0,0.8688548370983362,-0.7112705694433569
0.0,0.9192160224897197,0.4975127958541699
0.0,-1.1129805556359889,0.04636978114402881
0,2
2,3
3,1
1,13
13,0
12,4
4,10
10,14
14,12
12,5
5,9
9,7
7,12
12,6
6,8
8,4
7,15
15,6
14,11
11,5
8,0
0,10
15,2
2,8
9,3
3,15
11,1
1,9
10,13
13,11
0,1,2,3,4
5,6,7,8
9,10,11,12
13,14,15,5
12,16,17,13
8,18,19,9
20,21,6,15
14,17,22,23
24,25,16,11
10,19,26,27
28,29,18,7
20,23,0
4,28,21
2,24,27
26,29,3
22,25,1
