55,105,52
0.5,0.5,2.118033988749895
0.5,0.5,-2.118033988749895
0.5,-0.5,2.118033988749895
0.5,-0.5,-2.118033988749895
-0.5,0.5,2.118033988749895
-0.5,0.5,-2.118033988749895
-0.5,-0.5,2.118033988749895
-0.5,-0.5,-2.118033988749895
2.118033988749895,0.5,0.5
2.118033988749895,0.5,-0.5
1.394427190999916,-1.6708203932499368,0.5
1.394427190999916,-1.6708203932499368,-0.5
-2.118033988749895,0.5,0.5
-2.118033988749895,0.5,-0.5
-1.394427190999916,-1.6708203932499368,0.5
-1.394427190999916,-1.6708203932499368,-0.5
0.5,2.118033988749895,-0.5
0.5,-2.118033988749895,0.5
0.5,-2.118033988749895,-0.5
-0.5,2.118033988749895,-0.5
-0.5,-2.118033988749895,0.5
-0.5,-2.118033988749895,-0.5
0.0,1.3090169943749475,-1.8090169943749475
0.0,-1.3090169943749475,1.8090169943749475
0.0,-1.3090169943749475,-1.8090169943749475
1.8090169943749475,0.0,1.3090169943749475
1.8090169943749475,0.0,-1.3090169943749475
-1.8090169943749475,0.0,1.3090169943749475
-1.8090169943749475,0.0,-1.3090169943749475
1.3090169943749475,1.8090169943749475,0.0
2.203444185374863,-0.36180339887498947,0.0
-1.3090169943749475,1.8090169943749475,0.0
-2.203444185374863,-0.36180339887498947,0.0
1.3090169943749475,0.8090169943749475,1.618033988749895
1.3090169943749475,0.8090169943749475,-1.618033988749895
1.3090169943749475,-0.8090169943749475,1.618033988749895
1.3090169943749475,-0.8090169943749475,-1.618033988749895
-1.3090169943749475,0.8090169943749475,1.618033988749895
-1.3090169943749475,0.8090169943749475,-1.618033988749895
-1.3090169943749475,-0.8090169943749475,1.618033988749895
-1.3090169943749475,-0.8090169943749475,-1.618033988749895
1.618033988749895,1.3090169943749475,0.8090169943749475
1.618033988749895,1.3090169943749475,-0.8090169943749475
1.894427190999916,-0.8618033988749895,0.8090169943749475
1.894427190999916,-0.8618033988749895,-0.8090169943749475
-1.618033988749895,1.3090169943749475,0.8090169943749475
-1.618033988749895,1.3090169943749475,-0.8090169943749475
-1.894427190999916,-0.8618033988749895,0.8090169943749475
-1.894427190999916,-0.8618033988749895,-0.8090169943749475
0.8090169943749475,1.618033988749895,-1.3090169943749475
0.8090169943749475,-1.618033988749895,1.3090169943749475
0.8090169943749475,-1.618033988749895,-1.3090169943749475
-0.8090169943749475,1.618033988749895,-1.3090169943749475
-0.8090169943749475,-1.618033988749895,1.3090169943749475
-0.8090169943749475,-1.618033988749895,-1.3090169943749475
0,33
33,41
41,29
29,16
16,19
19,31
31,45
45,37
37,4
4,0
22,52
52,19
16,49
49,22
23,53
53,20
20,17
17,50
50,23
24,51
51,18
18,21
21,54
54,24
25,33
0,2
2,35
35,25
26,36
36,3
3,1
1,34
34,26
27,39
39,6
6,4
37,27
28,38
38,5
5,7
7,40
40,28
41,8
8,9
9,42
42,29
30,43
43,10
10,11
11,44
44,30
31,46
46,13
13,12
12,45
32,48
48,15
15,14
14,47
47,32
1,22
49,34
2,23
50,35
36,51
24,3
38,52
22,5
39,53
23,6
7,24
54,40
25,8
9,26
34,42
43,35
50,10
11,51
36,44
12,32
47,27
27,12
46,38
28,13
14,53
39,47
48,40
54,15
42,49
17,18
18,11
10,17
20,21
52,46
20,14
15,21
6,2
3,7
5,1
25,43
30,8
9,30
44,26
28,48
32,13
0,1,2,3,4,5,6,7,8,9
10,11,4,12,13
14,15,16,17,18
19,20,21,22,23
24,0,25,26,27
28,29,30,31,32
33,34,35,8,36
37,38,39,40,41
2,42,43,44,45
46,47,48,49,50
51,52,53,54,6
55,56,57,58,59
60,13,61,31
62,18,63,26
29,64,19,65
38,66,10,67
34,68,14,69
70,23,71,40
42,1,24,72
73,32,74,44
47,75,63,76
77,64,78,49
79,59,80,81
52,82,37,83
84,68,85,58
56,86,71,87
3,45,88,12
89,90,48,91
89,16,92,21
11,93,51,5
94,57,95,92
9,35,96,25
30,97,39,98
72,99,46,100
101,50,102,73
81,36,7,54
83,103,55,104
91,76,17
20,77,90
15,84,94
95,87,22
60,98,67
62,96,69
70,97,65
27,75,99
102,78,28
80,85,33
41,86,103
101,43,100
79,53,104
61,88,74
82,93,66
