32,120,60
2.4270509831248424,0.0,3.9270509831248424
2.4270509831248424,0.0,-3.9270509831248424
-2.4270509831248424,0.0,3.9270509831248424
-2.4270509831248424,0.0,-3.9270509831248424
3.9270509831248424,2.4270509831248424,0.0
3.9270509831248424,-2.4270509831248424,0.0
-3.9270509831248424,2.4270509831248424,0.0
-3.9270509831248424,-2.4270509831248424,0.0
0.0,3.9270509831248424,2.4270509831248424
0.0,3.9270509831248424,-2.4270509831248424
0.0,-3.9270509831248424,2.4270509831248424
0.0,-3.9270509831248424,-2.4270509831248424
0.0,0.6909830056250525,1.8090169943749475
0.0,0.6909830056250525,-1.8090169943749475
0.0,-0.6909830056250525,1.8090169943749475
0.0,-0.6909830056250525,-1.8090169943749475
1.8090169943749475,0.0,0.6909830056250525
1.8090169943749475,0.0,-0.6909830056250525
-1.8090169943749475,0.0,0.6909830056250525
-1.8090169943749475,0.0,-0.6909830056250525
0.6909830056250525,1.8090169943749475,0.0
0.6909830056250525,-1.8090169943749475,0.0
-0.6909830056250525,1.8090169943749475,0.0
-0.6909830056250525,-1.8090169943749475,0.0
1.118033988749895,1.118033988749895,1.118033988749895
1.118033988749895,1.118033988749895,-1.118033988749895
1.118033988749895,-1.118033988749895,1.118033988749895
1.118033988749895,-1.118033988749895,-1.118033988749895
-1.118033988749895,1.118033988749895,1.118033988749895
-1.118033988749895,1.118033988749895,-1.118033988749895
-1.118033988749895,-1.118033988749895,1.118033988749895
-1.118033988749895,-1.118033988749895,-1.118033988749895
0,18
18,6
6,14
14,0
0,22
22,9
9,12
12,0
0,25
25,1
1,24
24,0
0,27
27,11
11,16
16,0
0,23
23,7
7,26
26,0
1,19
19,7
7,13
13,1
1,23
23,10
10,15
15,1
1,26
27,1
24,8
8,17
17,1
1,22
22,6
6,25
2,16
16,5
5,12
12,2
2,21
21,11
11,14
14,2
2,31
31,3
3,30
30,2
2,29
29,9
9,18
18,2
2,20
20,4
4,28
28,2
3,17
17,4
4,15
15,3
3,20
20,8
8,13
13,3
3,28
29,3
30,10
10,19
19,3
3,21
21,5
5,31
4,14
16,4
28,6
6,24
24,4
4,29
15,11
11,25
25,4
4,21
21,10
10,17
12,8
8,26
26,5
5,20
20,9
9,16
5,13
17,5
31,7
7,27
27,5
5,30
14,10
10,28
6,23
23,11
11,18
6,15
19,6
29,6
7,12
18,7
30,7
13,9
9,31
7,22
22,8
8,19
26,10
10,24
8,30
28,8
31,11
11,29
9,27
25,9
0,1,2,3
4,5,6,7
8,9,10,11
12,13,14,15
16,17,18,19
20,21,22,23
24,25,26,27
28,19,12,29
10,30,31,32
33,34,35,9
36,37,38,39
40,41,42,43
44,45,46,47
48,49,50,51
52,53,54,55
56,57,58,59
60,61,62,63
64,55,48,65
46,66,67,68
69,70,71,45
72,43,36,73
54,74,75,76
77,65,60,53
58,78,79,80
81,82,83,57
38,84,85,86
87,88,89,37
90,63,56,91
71,92,93,94
95,47,40,70
2,96,97,74
98,99,100,1
101,27,20,102
35,80,77,103
75,11,4,34
104,7,0,105
18,86,95,106
93,29,24,17
22,107,108,92
109,110,111,21
62,23,33,110
31,91,87,61
85,112,113,30
114,106,104,84
111,68,64,115
6,39,52,88
50,105,109,5
108,116,117,49
118,94,90,107
89,15,8,119
26,59,69,82
67,102,98,25
97,115,114,66
113,76,72,96
83,32,28,112
42,3,16,99
14,73,81,41
79,119,118,13
117,103,101,78
100,51,44,116
